Collector,Year,Month,Location,Site,SiteID,SiteGrp,Depth,Transect,Transect_ID,T. length,Branching Coral,Rubble,Rock,Sand,Sponge,Plate coral,CCA,Turf Algae,Macro Algae,Branching Coral Avg,Rubble Avg,Rock Avg,Sand Avg,Sponge Avg,Plate coral Avg,CCA Avg,Turf Algae Avg,Macro Algae Avg
Mat,2021,Oct,L2,S1,L2S1,C,D2,1,Mat2021OctL2S1L2S1CD2,50,68,12,0,4,0,0,2,14,0,68,9,0,2,0,0.166666667,6.166666667,13.66666667,1
Mat,2021,Oct,L2,S2,L2S2,C,D1,1,Mat2021OctL2S2L2S2CD1,50,60,0,0,0,0,0,4,26,10,46,0.333333333,0,0.166666667,0.166666667,0.166666667,9.5,33.16666667,10.5
Mat,2021,Oct,L2,S2,L2S2,C,D2,1,Mat2021OctL2S2L2S2CD2,50,42,14,0,16,0,0,12,14,2,51.33333333,12.83333333,0.166666667,9.166666667,0.666666667,0,10.16666667,11.16666667,4.5
Mat,2021,Oct,L2,S3,L2S3,B,D1,1,Mat2021OctL2S3L2S3BD1,50,50,0,0,0,0,0,12,16,22,44.83333333,3,0,1.166666667,0.166666667,0.166666667,9.833333333,25.66666667,15.16666667
Mat,2021,Oct,L2,S3,L2S3,B,D2,1,Mat2021OctL2S3L2S3BD2,50,48,8,0,8,0,0,16,12,8,45.66666667,13,0.5,7.333333333,1.833333333,0,11.83333333,15.5,4.333333333
Mat,2021,Nov,L2,S1,L2S1,C,D1,1,Mat2021NovL2S1L2S1CD1,50,58,0,0,0,0,0,4,24,14,43.66666667,0.166666667,0,0,0,0,6.5,34,15.66666667
Mat,2021,Nov,L2,S1,L2S1,C,D2,1,Mat2021NovL2S1L2S1CD2,50,74,6,0,4,0,0,4,12,0,68,9,0,2,0,0.166666667,6.166666667,13.66666667,1
Mat,2021,Nov,L2,S2,L2S2,C,D1,1,Mat2021NovL2S2L2S2CD1,50,52,0,0,0,0,0,12,26,10,46,0.333333333,0,0.166666667,0.166666667,0.166666667,9.5,33.16666667,10.5
Mat,2021,Nov,L2,S2,L2S2,C,D2,1,Mat2021NovL2S2L2S2CD2,50,50,20,0,16,0,0,2,10,2,51.33333333,12.83333333,0.166666667,9.166666667,0.666666667,0,10.16666667,11.16666667,4.5
Mat,2021,Nov,L2,S3,L2S3,B,D1,1,Mat2021NovL2S3L2S3BD1,50,42,0,0,0,2,0,10,36,10,44.83333333,3,0,1.166666667,0.166666667,0.166666667,9.833333333,25.66666667,15.16666667
Mat,2021,Nov,L2,S3,L2S3,B,D2,1,Mat2021NovL2S3L2S3BD2,50,68,8,2,0,0,0,6,10,6,45.66666667,13,0.5,7.333333333,1.833333333,0,11.83333333,15.5,4.333333333
Mat,2021,Dec,L2,S1,L2S1,C,D1,1,Mat2021DecL2S1L2S1CD1,50,54,0,0,0,0,0,2,34,10,43.66666667,0.166666667,0,0,0,0,6.5,34,15.66666667
Mat,2021,Dec,L2,S1,L2S1,C,D2,1,Mat2021DecL2S1L2S1CD2,50,64,12,0,0,0,0,8,14,2,68,9,0,2,0,0.166666667,6.166666667,13.66666667,1
